Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
hogar-decoracion-florero-atelier-1,Florero Atelier Atelier N1,<p>Exquisito florero elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-HOG-101,450,shopify,50,deny,manual,22.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-product-1_large.png,1,Florero Atelier Atelier N1,FALSE,Florero Atelier Atelier N1,Comprar Florero Atelier Atelier N1 en Atelier Minimal Store.,active
hogar-decoracion-escultura-pastel-2,Escultura Pastel Atelier N2,<p>Exquisito escultura elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-HOG-102,450,shopify,50,deny,manual,27.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-image_large.png,1,Escultura Pastel Atelier N2,FALSE,Escultura Pastel Atelier N2,Comprar Escultura Pastel Atelier N2 en Atelier Minimal Store.,active
hogar-decoracion-cuenco-decorativo-puro-3,Cuenco Decorativo Puro Atelier N3,<p>Exquisito cuenco decorativo elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-HOG-103,450,shopify,50,deny,manual,31.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-lifestyle-1_large.png,1,Cuenco Decorativo Puro Atelier N3,FALSE,Cuenco Decorativo Puro Atelier N3,Comprar Cuenco Decorativo Puro Atelier N3 en Atelier Minimal Store.,active
hogar-decoracion-bandeja-eco-4,Bandeja Eco Atelier N4,<p>Exquisito bandeja elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-HOG-104,450,shopify,50,deny,manual,36.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-product-1_large.png,1,Bandeja Eco Atelier N4,FALSE,Bandeja Eco Atelier N4,Comprar Bandeja Eco Atelier N4 en Atelier Minimal Store.,active
hogar-decoracion-jarron-mate-5,Jarron Mate Atelier N5,<p>Exquisito jarron elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-HOG-105,450,shopify,50,deny,manual,40.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-image_large.png,1,Jarron Mate Atelier N5,FALSE,Jarron Mate Atelier N5,Comprar Jarron Mate Atelier N5 en Atelier Minimal Store.,active
hogar-decoracion-florero-artesanal-6,Florero Artesanal Atelier N6,<p>Exquisito florero elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-HOG-106,450,shopify,50,deny,manual,45.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-lifestyle-1_large.png,1,Florero Artesanal Atelier N6,FALSE,Florero Artesanal Atelier N6,Comprar Florero Artesanal Atelier N6 en Atelier Minimal Store.,active
hogar-decoracion-escultura-organico-7,Escultura Organico Atelier N7,<p>Exquisito escultura elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-HOG-107,450,shopify,50,deny,manual,49.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-product-1_large.png,1,Escultura Organico Atelier N7,FALSE,Escultura Organico Atelier N7,Comprar Escultura Organico Atelier N7 en Atelier Minimal Store.,active
hogar-decoracion-cuenco-decorativo-botanico-8,Cuenco Decorativo Botanico Atelier N8,<p>Exquisito cuenco decorativo elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-HOG-108,450,shopify,50,deny,manual,54.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-image_large.png,1,Cuenco Decorativo Botanico Atelier N8,FALSE,Cuenco Decorativo Botanico Atelier N8,Comprar Cuenco Decorativo Botanico Atelier N8 en Atelier Minimal Store.,active
hogar-decoracion-bandeja-atelier-9,Bandeja Atelier Atelier N9,<p>Exquisito bandeja elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-HOG-109,450,shopify,50,deny,manual,58.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-lifestyle-1_large.png,1,Bandeja Atelier Atelier N9,FALSE,Bandeja Atelier Atelier N9,Comprar Bandeja Atelier Atelier N9 en Atelier Minimal Store.,active
hogar-decoracion-jarron-pastel-10,Jarron Pastel Atelier N10,<p>Exquisito jarron elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Title,Default Title,ATL-HOG-110,450,shopify,50,deny,manual,63.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-product-1_large.png,1,Jarron Pastel Atelier N10,FALSE,Jarron Pastel Atelier N10,Comprar Jarron Pastel Atelier N10 en Atelier Minimal Store.,active
