Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Gift Card,SEO Title,SEO Description,Status
hogar-decoracion-florero-atelier-1,Florero Atelier Atelier N1,<p>Exquisito florero elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Tono / Acabado,Verde Soft Natural,ATL-HOG-101-V,450,shopify,50,deny,manual,22.5,,TRUE,TRUE,,FALSE,Florero Atelier Atelier N1,Comprar Florero Atelier Atelier N1 en Atelier Minimal Store.,active
hogar-decoracion-florero-atelier-1,,,,,,,Tono / Acabado,Marron Tierra Pastel,ATL-HOG-101-M,450,shopify,50,deny,manual,26.0,,TRUE,TRUE,,,,,
hogar-decoracion-escultura-pastel-2,Escultura Pastel Atelier N2,<p>Exquisito escultura elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Tono / Acabado,Verde Soft Natural,ATL-HOG-102-V,450,shopify,50,deny,manual,27.0,,TRUE,TRUE,,FALSE,Escultura Pastel Atelier N2,Comprar Escultura Pastel Atelier N2 en Atelier Minimal Store.,active
hogar-decoracion-escultura-pastel-2,,,,,,,Tono / Acabado,Marron Tierra Pastel,ATL-HOG-102-M,450,shopify,50,deny,manual,30.5,,TRUE,TRUE,,,,,
hogar-decoracion-cuenco-decorativo-puro-3,Cuenco Decorativo Puro Atelier N3,<p>Exquisito cuenco decorativo elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Tono / Acabado,Verde Soft Natural,ATL-HOG-103-V,450,shopify,50,deny,manual,31.5,,TRUE,TRUE,,FALSE,Cuenco Decorativo Puro Atelier N3,Comprar Cuenco Decorativo Puro Atelier N3 en Atelier Minimal Store.,active
hogar-decoracion-cuenco-decorativo-puro-3,,,,,,,Tono / Acabado,Marron Tierra Pastel,ATL-HOG-103-M,450,shopify,50,deny,manual,35.0,,TRUE,TRUE,,,,,
hogar-decoracion-bandeja-eco-4,Bandeja Eco Atelier N4,<p>Exquisito bandeja elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Tono / Acabado,Verde Soft Natural,ATL-HOG-104-V,450,shopify,50,deny,manual,36.0,,TRUE,TRUE,,FALSE,Bandeja Eco Atelier N4,Comprar Bandeja Eco Atelier N4 en Atelier Minimal Store.,active
hogar-decoracion-bandeja-eco-4,,,,,,,Tono / Acabado,Marron Tierra Pastel,ATL-HOG-104-M,450,shopify,50,deny,manual,39.5,,TRUE,TRUE,,,,,
hogar-decoracion-jarron-mate-5,Jarron Mate Atelier N5,<p>Exquisito jarron elaborado artesanalmente. Tonos pastel suaves en verde y marron natural para la armonia de tu espacio.</p>,Atelier Store,Decoracion y Hogar,"Decoracion y Hogar, Minimalist, Eco, Atelier",TRUE,Tono / Acabado,Verde Soft Natural,ATL-HOG-105-V,450,shopify,50,deny,manual,40.5,,TRUE,TRUE,,FALSE,Jarron Mate Atelier N5,Comprar Jarron Mate Atelier N5 en Atelier Minimal Store.,active
hogar-decoracion-jarron-mate-5,,,,,,,Tono / Acabado,Marron Tierra Pastel,ATL-HOG-105-M,450,shopify,50,deny,manual,44.0,,TRUE,TRUE,,,,,
